comment,sent,off
Like adich cmnt vaayikkunnavar like adi,unknown_state,Not_offensive
vandiyil vanu iragana scene oru reshayam illaa  bgm,Positive,Not_offensive
Ethinnakal rasamma fan made trailer kaanan very poor,unknown_state,Not_offensive
Ethokke aranavo unlike adikkuneeee.. .Aaaa Freak pennu song like adichavar analley,Negative,Not_offensive
100 cr aanannu Antony parayaan paranju,unknown_state,Not_offensive
LOVE എന്നതിന്റെ പൂർണ്ണ രൂപം അറിയാമോ പറയുന്നത് ആരെന്ന് നോക്കൂ,unknown_state,Not_offensive
Tovino,unknown_state,Not_offensive
ട്രൈലെർ കിടു  Wishes to Janapriya Nayakan Dileepettan from Lalettan Fans,Positive,Not_offensive
അഭിനയിക്കാൻ പറഞ്ഞാ ജീവിച്ചു കാണിക്കുന്ന ഒരു പെണ്ണുണ്ട്  മലയാളത്തിന് സ്വന്തമാണ്...മലയാളത്തിന്റെ സ്വകാര്യ അഹങ്കരം മഞ്ജുവേച്ചി ട്രൈലെർ പൊളിച്ചു കട്ട വെയ്റ്റിംഗ് പോരട്ടെ വേഗം………,Positive,Not_offensive
car enu eragi nadakunath kandapol Bilal ena orma vanath enik matharam anoo,unknown_state,Not_offensive
HappY Birthday One an Only Mammookkkaaa 🥰,not-malayalam,not-malayalam
Joju Joerge fans hit like here,not-malayalam,not-malayalam
Ith oru polipadamayirikum ennulavar like adi,unknown_state,Not_offensive
വിനീത് ആലാപനത്തിലും സംവിധാനത്തിലും ശ്രദ്ധിച്ചാൽ മതി... അതായിരിക്കും നല്ലത് എന്നാണ് എന്റെ അഭിപ്രായം...,Mixed_feelings,Not_offensive
Oru rakshela padathin vendi katta waiting,Positive,Not_offensive
ഒൻ ക്രിതാനി ആണ് അതിന് ഇപ്പൊ ഏതാ യേശുനെ നമക്ക് ആർക്കും അറിയാത്ത അല്ലാലോ.... !..നല്ല കഥ ഉള്ള ഒരു കൂട്ടം ചെറുപ്പക്കാർ... ആയിരിക്കും.. ഉറപ്പ്...,Positive,Not_offensive
Mammooty + linto kurian + ajai vasudev = swag ka baap,not-malayalam,not-malayalam
ജോഷി യുടെ മാസ്സ് ഒന്നും അങ്ങനെ പൊയ്‌പോവൂല..,Positive,Not_offensive
ഈ ലാലേട്ടനെ കൊണ്ട് തോറ്റു.. എന്നാ ഗ്ലാമറാ..  Lve u laletta..,Positive,Not_offensive
Trailer marana Mass...Lalettante heavy role. # Raju ettan Poli anu.# pooram eni Big screenil# political Thriller#,Positive,Not_offensive
പ്രതീക്ഷയോടെ കാത്തിരിക്കുന്നവരെ ഇങ്ങനെ മൂഞ്ചിക്കരുത്. എന്ത് ഊള എഡിറ്റിംഗ് ആണ്,Negative,Offensive_Untargetede
open for online job for,not-malayalam,not-malayalam
Im from us army i like mammukka action,not-malayalam,not-malayalam
Ingerk ethra vayas aa nna paranje????,unknown_state,Not_offensive
Mamangam & Kunjaali Marakkaar  MAMMUKKA & LALETTAN FANS Like here V R 1,not-malayalam,not-malayalam
Face of Indian Cinema Mega star mamuka,not-malayalam,not-malayalam
rajuvettan marana mass .....laletan kola mass,Positive,Not_offensive
Ikkaaaaa katta waiting.. Ini kurach nal koodi,Positive,Not_offensive
Ini ippo ella padam achan nte molude Koode akum,unknown_state,Not_offensive
Jayasuriya polich entha mone lookum mundummadakki nadathoke laalettan thottupovumallo,Positive,Not_offensive
1:01 ഇതൊക്കെ സ്കൂൾ പിള്ളേരോട് പോയി പറ സാറെ,unknown_state,Not_offensive
verum  nadathavum iruttavum mathrame  ullu,Negative,Not_offensive
Fan enna Hindi move pole amo,Mixed_feelings,Not_offensive
വിഷു സ്റ്റീഫൻ ഇച്ചായൻ കൊണ്ടുപോയി  ഓണം ഇട്ടിച്ചായനുള്ളതാണെന്ന് ഉറപ്പുള്ളവർ അടി ലൈക്,unknown_state,Not_offensive
Yetra ayalum lucifer ne tholppikan kayila.. Ettan uyir,Positive,Not_offensive
Ee mass kanan kaathirikkunna All Pravasi       Malayalees ivide come on,Positive,Not_offensive
Uyyo....no raksha...nte mammookaaaaa pwoli pwolii.. dialogue ND that smile,Positive,Not_offensive
Thalaivaaa vaa Thalaivaaa 🤩 🤩🤩 🤩🤩 🤩🤩 🤩🤩 🤩,not-malayalam,Not_offensive
Once a king,Positive,Not_offensive
Daily views etrayayi enn nokan varrunavar adi like,unknown_state,Not_offensive
സോങ് ഫുൾ കോമഡി ആണല്ലോ  സിനിമയും ഫുൾ കിടു കോമഡി ആവട്ടെ .... ലാലേട്ടൻ ഇസ്‌തം,Positive,Not_offensive
ജോജു ഏട്ടൻ ഫാൻസ്... അടി പൂക്കുറ്റി,unknown_state,Not_offensive
Hit like if you are after Madhura Raja trailer??,not-malayalam,not-malayalam
വല്യ  പ്രതീക്ഷ ഇല്ലാതിരുന്ന് ട്രെയിലർ കണ്ട് പ്രതീക്ഷ വന്നാ  ആരെങ്കിലും ഉണ്ടോ,Mixed_feelings,Not_offensive
Allatha idil aval vakkilina kandathokka veruthaa aaayinilllaaaaa,unknown_state,Not_offensive
Enta ponnu jayettooiiiii ingalu mmde thrissurle polichadakkindalloo,Positive,Not_offensive
ഇതാവണമെടാ പലിശക്കാരൻ...  കിടു... കിടിലോൽക്കിടിലം... മമ്മൂക്ക... നിങ്ങളുടെ സൗന്ദര്യം മുഖത്ത് മാത്രമല്ല... അഭിനയത്തിലും ഉണ്ട്... അതൊരിക്കലും മങ്ങില്ല... ചുളിവ് വീഴില്ല... പ്രായം തോന്നില്ല...,Positive,Not_offensive
മർഗംകളിൽയിൽ ഞാൻ ശ്രദ്ധിച്ചത് സലീം കുമാറിനെ,unknown_state,Not_offensive
നിവിൻ പോളി ഫാൻസ് ലൈക് ഈ ചിത്രം nov 08thനു തീയറ്ററിൽ പോയി കാണാൻ ആരൊക്കെ വൈറ്റ് ചെയ്യുന്നു🤔,unknown_state,Not_offensive
ഇത് ന്താ മരണ വീട്ടിലെ trailer aano,Negative,Not_offensive
Love from Tamilnadu nivin anna fanz,not-malayalam,not-malayalam
Thoopil Joppan poley ulla oru Item aavand irunnal mathi aarunnu🥺🥺🥺.,Mixed_feelings,Not_offensive
ചേച്ചി തകർക്കും  മോഹൻലാൽ ഫാൻസിന്റെ വക അടിപൊളി ആശംസകൾ,Positive,Not_offensive
മഞ്ജുച്ചേച്ചി കട്ട ഫാൻസ്‌ ഇവിടെ കമ്മോൺ,unknown_state,Not_offensive
Movie kaboor ayerikkum ikka alle actor,Positive,Not_offensive
Best villain role aanenu thonnunu....trailer kidu kattaku katta,Positive,Not_offensive
കഷ്ടം.. അരോചകമായ dialog delivery. ഇതൊക്കെ തന്നെയാണ് പ്രതീക്ഷിച്ചത്.,Negative,Not_offensive
വിദ്യ സാഗർ fans ഉണ്ടേൽ pls like,unknown_state,Not_offensive
Vivek oberoi best villan powli 🤩🤩🤩,Positive,Not_offensive
2 ND trailer punch in koodan pokunne ullu Mone.. ennu thonnunnavar ivide like,unknown_state,Not_offensive
Pwoli trailer  BGM vere level  Ithokke kandal mathi ithil ninne manassilakkam box office poorakkadal akum,Positive,Not_offensive
Dialogue ok യാണ് എന്നാൽ videos       ഒക്കെ മറ്റു സിനിമകളുടെ തുമാണ് Pirates of the Caribbean ഒക്കെ ഇതിലുണ്ട്,Mixed_feelings,Not_offensive
THE NAME IS THE DEVIL LALETTAN LUCIFER,not-malayalam,not-malayalam
```HIGH VOLTAGE INSIDE.. UNAUTHORIZED PERSONS KEEP OUT ```,not-malayalam,not-malayalam
ബാന്റ് മേളം കണ്ടപ്പോൾ ലിജോ ജോസ് പല്ലിശ്ശേരിയുടെ പടമാണെന്ന് കരുതി പോയ്,unknown_state,Not_offensive
Ohhh my god... endhokke looks aanu...  onnum parayaanillaa... katta waiting lalettaa...,Positive,Not_offensive
Ee padam onnu vegam irakan patuo???? Pattillalle...,unknown_state,Not_offensive
Verum gust roll nu ejjathi waiting,Positive,Not_offensive
Teaser cut ചെയ്യുന്നത് linto ആണെന്ന് പറഞ്ഞിട്ട് don max ആണല്ലോ ചെയ്തത് 🤔🤔🤔linto നെ തട്ടിയോ,unknown_state,Not_offensive
ചുമ്മാ അല്ലാട്ടോ ഇക്ക ഇങ്ങളെ മെഗാസ്റ്റാർ എന്ന് വിളിക്കണേ,Positive,Not_offensive
Substandard... ഊള പടം.. trailer കണ്ടു പറ്റിക്കപ്പെട്ടു.. എന്തിനു ഇങ്ങനെ കൂതറ പടം ഇറക്കി ഉള്ള വില കളയുന്നു Laleten.. double meaning ഊള comedy മാത്രം ഉള്ള ഇതിനെ എങ്ങനെ family entertainer എന്നു വിളിക്കുന്നു!!,Negative,Not_offensive
SNMIMT collegil njangalde ICE Dept. Il njangal irakkiyatha 2nd kollam munbu Onathinu DJum kazhinjakollam Onathinu AANAyum THAMBAyum.,unknown_state,Not_offensive
ടീസർ ഇഷ്ടപെട്ടവർ ഇതൊന്നു  കാണുക   ഫാൻസ്‌ ലൈക്‌ here,unknown_state,Not_offensive
Plzzz USE uR #HEADPHONES  Enjoy GOOZZ BUMBSSS EFFECTS  #PRITHVIRAJ  MAASSS MAGICAL,not-malayalam,not-malayalam
എല്ലാവരും ഈ ലിങ്കിൽ കേറി രാജുഎട്ടനെ ജയിപ്പിക്ക്,unknown_state,Not_offensive
Adhikam show kaanikkanda odiyan oruma undallo alle,Negative,Not_offensive
കോഴിക്കോട്ടെ ഇട്ടിച്ചൻറെ ഫാൻസ് ലൈക്ക് ബട്ടൺ കുത്തിപ്പൊട്ടിച്ചിട്ട് പോയ മതി,unknown_state,Not_offensive
Character poster kandu rajuvettan undo nokkan vannavar ethra perund🧐,unknown_state,Not_offensive
ഇപ്പോ പിടി കിട്ടി മുട്ടൻ  veggies ന്റെ പേരിട്ടാൽ film HIT...  എന്റെ സിൽമേടെ പേര് ഉറപ്പിച്ചു മത്തങ്ങാ കാലങ്ങൾ..,Positive,Not_offensive
Raja Sollarthan Seivan,not-malayalam,not-malayalam
Nalla parungada trending no.2 la thaan iruku,not-malayalam,not-malayalam
Oru reksheyum illa 200 Kodi club ill kerum ennu orappolavar like adi,unknown_state,Not_offensive
നിനക്കിനി മലയാളം ഇൻഡസ്ട്രിയിൽ കിടന്ന് പൊളക്കാൻ പറ്റുമെന്ന് തോന്നുന്നുണ്ടോ.. ബോസ്സേ....  പോളക്കുവല്ല കൂത്താടും,unknown_state,Not_offensive
ഇപ്പൊ പോവ്വാ പക്ഷെ അവനേം കൊണ്ടേ പോകു,unknown_state,Not_offensive
റിലീസ് ചെയ്ത അന്ന് തന്നെ പടം കാണാൻ ബോണി പറഞ്ഞു,unknown_state,Not_offensive
MAMMOOKKA pwolichu     🤩 🤩,Positive,Not_offensive
Ada maira mammutty naadu kathumboll ninta poottila diloge,Negative,Offensive_Targeted_Insult_Individual
Ikka fans mathram oru like thanne,unknown_state,Not_offensive
Shooooo....9 manikku kaanan thodangiyadhaa....12:30 aayi....ethra vattam kandu ennadhinum kanakkilaa....nirthaan pattunilalo.....oru katta Mohanlal prithviraj aaradhakande rodhanam!!!!!,Positive,Not_offensive
Njan oru lalettan fan allengilum trailer kandappo...ee film kalakkum orappa....mega super hit aagum....urappe..,Positive,Not_offensive
Mamoookaaaa massssss.....uff rakshayillaaaa...ikka ennum mass ka bapp,Positive,Not_offensive
Onne parayanollu eee prayathil eemathiri role athu mamookakkalathe arkuu pattum,Positive,Not_offensive
നയ്‌ല ഉഷ നല്ലൊരു നടി ആണ് മികച്ച പ്രകടനം കാഴ്ചവെക്കാൻ കഴിയട്ടെ 🤩.. ജോജു ചേട്ടൻ പിന്നെ പൊളിയല്ലേ അടുത്തൊരു ഹിറ്റ്‌ കൂടി,Positive,Not_offensive
Lalettante kannu cheruthayo ? Mukhathu nalla mattam undu,unknown_state,Not_offensive
Appu pathu Pappu enn kandappo adhyam manasilekk vannath Joseph anu 🥰 ethayalum ithu polikkum,Positive,Not_offensive
Oooooooothaaaaaaaaaa devudiya mayangala youtupe ponanle indha devudiya paiya trailer thaaa varuthu kandaraoli mavanugala,not-malayalam,not-malayalam
Dialogue delivery mosam.... okke editing analle..,Mixed_feelings,Not_offensive
Sheriya eattante eathra kali namallu kandittullatha hehe,unknown_state,Not_offensive
edakku vannu kanukayum viewsum nokkunnathum arokke mammookka,Positive,Not_offensive
Suraj anna.. entha parayya.. annan nte acting .. vallathe range aayi anna.. onnum parayan illa.. othiri ishtama,Positive,Not_offensive
Ee padam pwolikkum pwoli teaser teaser...,Positive,Not_offensive
rajaede pilllar strong anell ettante pillerrr strongoo strong.....,Positive,Not_offensive
Lucifer Oru political movie anennu arum pratheksichilla...,unknown_state,Not_offensive
Super .. pazhachi pola tonunu ..  history movie kanamenkil mammoka abinayikanam,Positive,Not_offensive
40:45ഈ സീൻ ഒന്നിൽ കൂടുതൽ കണ്ടവർ നീലം മുക്കി പോ,unknown_state,Not_offensive
we r waiting for Mamangam dear #Mammookkaaa ....the mamangam of Your #Mamangam,not-malayalam,not-malayalam
Sathyathil abhinandanagal ariyikkendathu Prithvirajinanu. Thakarthu kalanjallo muthu,Positive,Not_offensive
Once upon a time there is ആ കള്ളൻ ആൻഡ് പോലീസ്,unknown_state,Not_offensive
All the best ikka from #lalettan fans 🤗,not-malayalam,not-malayalam
Trileril ulla 16 seen polum padathil illa ennullathane sthyam,unknown_state,Not_offensive
MAMMOOKKAAA....  NIGHAL MUTHAANU....Nighal kola maassalla...  kolaveri maasaanu.....,Positive,Not_offensive
Tovino look. & BGM vere level,Positive,not-malayalam
Nth trailer da...oru ethum pidyum illalo,Mixed_feelings,Not_offensive
Trailer ഒക്കെ സൂപ്പർ പക്ഷെ action സിനിമ ചെയുമ്പോൾ പരിജിതനായ ഒരു നടൻ വേണമായിരുന്നു അന്നലെ കാണുന്നവർക്ക് acceptചെയ്യാൻ പറ്റൂ . നല്ലൊരു making style ഉണ്ടായിട്ടും കൈയടി വിഴണങ്കിൽ ഒരു hero വേണമായിരുന്നു Theaterറിൽ ഈ സിനിമ Flop ആയിരിക്കും,Mixed_feelings,Not_offensive
vishuvinu     padakkam kittathe  iriikayirunnu... ikkayudepadakkam vannappo santhoshaaayi,Negative,Not_offensive
തുടക്കത്തിലെ മൂസിക് കേട്ടപ്പോ തന്നെ വീഡിയോ സ്റ്റോപ് ചെയ്ത് കമന്റ്സ് നോക്കാൻ വന്ന ലെ ഞാൻ സമയം 12.17.. ഇത് ഹൊറർ പടമാണോടെയ്?,unknown_state,Not_offensive
From Tamil Nadu... Trailer looks promising kandippa pakanum,not-malayalam,not-malayalam
Rajinikanth dialogue  mammooka version,not-malayalam,not-malayalam
Stunning Trailer. .. Best wishes Ikka #RAJARETURNS #VJ,not-malayalam,not-malayalam
Hooo... oru beat ilum nenjidipp varunnu.. kidukkum... thimirkkum,Positive,Not_offensive
ഓ എന്താണ് ഇപ്പോൾ പറയുക ഒന്നും പറയാനില്ല പൊളി എന്ന് വെച്ചാൽ തകർത്തു,Positive,Not_offensive
ഓണം ഏട്ടൻ ഇങ് എടുത്തു ന്ന് പറയാൻ പറഞ്ഞു,Positive,Not_offensive
mammootty fans keri  like adich power kanikk,unknown_state,Not_offensive
Trailer kidukki..film ith pole nannaya mathiyarnnu.,Positive,Not_offensive
Innu kandu erangiyathe ullu woww super movie from kuwait but porinju marikkandarinnu,Positive,Not_offensive
ലാലേട്ടന്റെ സ്വന്തം ഇച്ഛാക്കയ്ക്ക്  ഏട്ടൻ ഫാൻസിന്റെ വിജയാശംസകൾ,Positive,Not_offensive
ഹിന്ദി ശാറു ഖാന്റെ FAN remake ആണോ,unknown_state,Not_offensive
Once king is always king mammookka,not-malayalam,not-malayalam
വിചാരിച്ചത് പോലെ അല്ലാ.... സംഭവം class ആണ്.......,Positive,Not_offensive
Ee trailer vachaaanooo luciferinodu muttaan varunnath,Negative,Not_offensive
8hr 2 million viewers one name laletan ...n prithvy,not-malayalam,Not_offensive
Ini madhu chettan brilliance kandu pidikendi varum,Positive,Not_offensive
എല്ലാ ലാലേട്ടൻ  ആരാധകരും  ഇവിടെ  ലൈക്‌ അടിക്കണേ 🤩,unknown_state,Not_offensive
Friendshipin  vilayathu.  kelkkan.  kerikkanu. Machane     Plz support guyz,unknown_state,Not_offensive
മാമാങ്കം പൊട്ടിയതിന് മോഹന്‍ലാല്‍ ഫാന്‍സ് ഒന്നും അല്ല കാരണം  മലയാളത്തിലെ ഏറ്റവും മുതല്‍ മുടക്കുള്ള പടം എന്ന് പറയുമ്പോള്‍ ആളുകള്‍ പലതും പ്രതീക്ഷിക്കും അത് കൊടുക്കാന്‍ മാമാങ്കത്തിന് കഴിഞ്ഞിട്ടില്ല എന്നത് സത്യമാണ്,unknown_state,Not_offensive
Kanditt oru 10 Kollam mumbu irangiyenkil Hit aakenda item pole thonni... Anyways all the best Team TP,Mixed_feelings,Not_offensive
Ikka & ettan ipozum ettavum aniyanum ayita nn kanunne.. luciferum kidukki.. Ithum athupole polichadukkatte.. All th best ikka 🤗,Positive,Not_offensive
Lucifer lucifer lucifer a10 a10 a10,unknown_state,Not_offensive
നല്ല ഊള ടീസർ.. പടം ഇങ്ങനെ ആവാതിരുന്നാൽ ഭാഗ്യ,Negative,Not_offensive
Amala paul  nte Aadai cinemayum aayi saamyam thoniyavar undo?,Mixed_feelings,Not_offensive
ഒരൊറ്റ കാര്യമേ പറയാനുള്ളൂ...  യൂട്യൂബിൽ വലിയ വായിൽ തള്ളാതെ ഇക്ക ഫാൻസ് എന്നു വീമ്പു പറയുന്ന വർ ഇതെങ്കിലും theatre ഇൽ കണ്ടേക്കണം... ഇക്ക യുടെ പടം ഇറങ്ങിയാൽ പിന്നെ review അറിഞ്ഞേ പല ഫാൻസും തിയേറ്റർ ഇൽ പോകാൻ ഇപ്പൊ മെനക്കെടുന്നുള്ളൂ...,unknown_state,Not_offensive
ithaaanu nnumma paranja shaolin temple athava SHASHI Annante kottaram,unknown_state,Not_offensive
Pandathe dileep ayirunnegi njan adyam poi kanunna padam ethayene .. edo dileepetta nigal mosham akendairunilla,Negative,Not_offensive
ഇട്ടിച്ചന്റെ വക ഒരു സാമ്പിൾ വെടിക്കെട്ടൂടെ,Positive,Not_offensive
Bro full support rock man allel,Positive,Not_offensive
enik mathramaano madhuraja teaserine kattilum e trailer ishtapettathu. .,unknown_state,Not_offensive
Vineeth sreenivasan ennnu kanda pinne onnum nokkanda padam vere level ayirikkum,Positive,Not_offensive
AVASAANAM RAAJUVETTANUM VALLA VILLANO MATTO AAYI VARUMO ENDHO#######,unknown_state,Not_offensive
Mammokkaaa katta waiting for this movie,Positive,not-malayalam
Cinima kando kidu,Positive,Not_offensive
Enta Mone powli  ikka uyir,Positive,Not_offensive
Rolls roys കൊള്ളാമല്ലോ   ...,unknown_state,Not_offensive
10 timesil kooduthal kanndavar ivde like adii🤩 RAJA Return,Positive,Not_offensive
16 Keep views and 23 k likes... How is it possible?,not-malayalam,not-malayalam
Mass enn paranja pora marana mass,Positive,Not_offensive
Video kanunnathu munne comments aanunokye  ath kndple video sPrb aavummnnuthonni  powli  kAtta waiting fOr LUCIFER,Positive,Not_offensive
താന്തോന്നിക്ക് ശേഷം വീണ്ടും പ്രിത്വിരാജ് and സുരാജേട്ടൻ കോംബോ.  Katta waiting.....  Fdfs locked.,Positive,Not_offensive
SRK യുടെ FAN movieയും  ആയി എവിടെയോ ഒരു സാമ്യത,Mixed_feelings,Not_offensive
ലാലേട്ടൻ ഫാൻസ്‌ ലൈക്ക് button അടിച്ചു pwolikku,unknown_state,Not_offensive
enthu oola trailer aanu ithu. poor dialogue delivery,Negative,Offensive_Untargetede
Traliler ishtapetta ettan fans undel ivide like..,unknown_state,Not_offensive
Padam Hit aakum ennu urapullavar Adi,unknown_state,Not_offensive
Lucifernne EzHuayallathu varakilla nnu urapaa pakshe padam pulimuragan level hittaa athu suraa,Mixed_feelings,Not_offensive
ചത്ത ചാവേർഉടൽ ഇവിടുന്ന് കടത്തികൊണ്ട് പോയിട്ടുണ്ടെങ്കിൽ അത്‌ ഞങ്ങളുടെ വല്യമ്പ്രാൻ ആണ്   ചന്ദ്രോത്ത്‌ വല്യപണിക്കർ   പിന്നാലെപോകണ്ട അവടെ പട പന്തിരായിരം ചെന്നാലും മരണം ഉറപ്പ്    #മാമാങ്കം,unknown_state,Not_offensive
Aamaye vellathil mukkikkollunna inam.  Hareesh kanaran rocks,Positive,Not_offensive
ഇതു കണ്ടിട്ട് പടം കാണല്ലേ... ലാലേട്ടന്റെ ചങ്ക് ഫാൻ...,Negative,Not_offensive
ഇത് film ആണോ real ആണോ  Mammukka pwoli,Positive,Not_offensive
4 DAYS TO GO  ഇട്ടിമാണി  Wating  ലാലേട്ടാ,Positive,Not_offensive
7 മണിക്ക് SHYLOCK Teaser വരുന്നു എന്ന് പറഞ്ഞപ്പോൾ ഇത്രയും പ്രതീക്ഷിച്ചില്ല      Ufff Mammokka uyr ikka fan,Positive,Not_offensive
ആരോ ഒരാളല്ല .. എന്റെ ഏട്ടൻ .My Big Brother 🥰,unknown_state,Not_offensive
Like - Manju Warrier as Devika Shekhar in Pthram,unknown_state,not-malayalam
മധുരരാജെക്ക് ശേഷം അടിയുടെ ഇടിയുടെ വെടി പൂരം തീർക്കാൻ വീണ്ടും മമ്മുക്ക,Positive,Not_offensive
Lalettan anum ennum uyri pleas like,Positive,Not_offensive
Adipoli movie  Plus one life super,Positive,Not_offensive
2 divasam yengane wait cheyyanaan he,Positive,Not_offensive
ഇതെന്താ ഇക്കാ പ്രൊമോഷൻ വീഡിയോ യോ...കഥ എവിടെ,Negative,Not_offensive
LOTS OF SUPPORT FROM VIJAY FANS,not-malayalam,not-malayalam
trailer ippozhe manassil orupaad thavana kand kazhinjavar like adiche...,unknown_state,Not_offensive
ഷൈലോക്കിന്റേതും ഊള ടീസർ ബിഗ് ബ്രദറിന്റേതും ഊള ടീസർ,Negative,Not_offensive
ഓണം എന്നും ഏട്ടനോടൊപ്പം...  .........ഏട്ടന്റെ എല്ലാ അനിയന്മാർക്കും ഓണാശംസകൾ............,Positive,Not_offensive
അന്തോണിയേട്ടാ അടിച്ചോ ബാന്റ്!!  ഈ ഓണം പൊറിഞ്ചു കൊണ്ടു പോകുംന്നാ തോന്നണേ...,Positive,Not_offensive
ഇതിനേക്കാൾ നന്നായി Linto Kurian Mashup videos ചെയ്യും.,Mixed_feelings,Not_offensive
ith kandappo pulimurugan ormavannavar like adi,unknown_state,Not_offensive
Angane murukante karyathil Oru teerumanam ayii,unknown_state,Not_offensive
KPAC ലളിതയെ കാണുമ്പോൾ ഒടിയൻ മാണിക്യനെ പോലെ തോന്നിയവർ LIKE  അടി,unknown_state,Not_offensive
ആരോ ഒരാൾ അല്ല എന്റെ ഏട്ടൻ  My  Big Brother,unknown_state,Not_offensive
Maamangathe pole shylockinum 200 Kodi kittatte aashamsakal...,Positive,Not_offensive
വേട്ടക്ക് ശേഷം ചാക്കോച്ചന്റെ കിടിലൻ ത്രില്ലെർ ആവുമെന്ന് തോന്നുന്നു,Positive,Not_offensive
Alla....manasilalyoooo.......  Viswasichu koodevarunnavare jeeevanaan .....eetu....jeevan .....koduthayaaalum ...... Samrakshichirkkum.......  Madhura Raja .......,unknown_state,Not_offensive
എങ്ങനെ youtube പ്രൊഫൈൽ Pic മാറ്റാം,unknown_state,Not_offensive
Kuch Samaj Mai nhi Aya but Maja Aya,not-malayalam,not-malayalam
polichu muthe laleta enna glamour aa postersiloke,Positive,Not_offensive
Next 200 Crore club Malayalam muvi,not-malayalam,not-malayalam
Script full maattiyallé?? Scenes maari... dop maari... angame kurae,unknown_state,Not_offensive
Entho ishtam aanu ellarkum ee Ittimaniye,Positive,Not_offensive
Pezhacha padam.....ithu kaanan ethu baasha padikano ntho....... variety aakan aayirunnel vere nthelum cheyarnuuu,Mixed_feelings,Offensive_Targeted_Insult_Group
കുർബാന കുടി  സിമിത്തേരിൽ പ്രാർത്ഥിച്ചു  ഇനി  2  കിലോ പോത്തെറിച്ചി വാങ്ങിച്ചു വീട്ടിൽ പോണം   അതാണ്  നമ്മടെ  നസ്രാണി കളുടെ രീതി,unknown_state,Not_offensive
ഓണം ഹിറ്റ്‌  ചന്ദ്രലേഖ  മാന്ത്രികം  രാവണാഭരവു  ബാലേട്ടൻ  റൺബേബി റൺ നാട്ടുരാജാവ്   നരൻ,Positive,Not_offensive
Nale varunna teaserine pedich dislike adikkunna haters... enth pediyaa makkale. Teaseralle varunnath eah..inganaanenki padam irangumbo pedich thoorum,Negative,Not_offensive
ഈ സിനിമ എങ്ങനെ നശിപ്പിക്കണമെന്ന് (ഡിഗ്രിഡ് ) കാണിച്ചു തരാട്ടോ.....  ഒന്നിറങ്ങിക്കോട്ടെ,Negative,Not_offensive
Ee trailer il Suraj PrithviRaj ne kaalum mass aan,Positive,Not_offensive
Mass odiyan Mass kollamass kattaa waiting kidilam,Positive,Not_offensive
ninyokke evade kedanu thallathe theatril poe kanuvode? last dark aanu lag aanu ennoke paranju pottikathiruna mathi  This is not a mass movie plz note dat dnt expect,Negative,Not_offensive
ഇത് ഇയർ ഫോൺ കേൾക്കുമ്പോൾ ശരിക്ക് പേടിക്കും,Positive,Not_offensive
ഇതൊക്കെ ഫസ്റ്റ് ഡെയ് തീയേറ്ററിൽ പോയി തന്നെ കാണണം  ഇജ്ജാതി മാസ്സ് ഇക്കാ,Positive,Not_offensive
Trailer 5 il kooduthal kandavar like,unknown_state,Not_offensive
That “വാടാ “ vili   ettan,unknown_state,Not_offensive
All the best മഞ്ജു ചേച്ചി,Positive,Not_offensive
ഞാൻ പഠിച്ച സ്കൂൾ ഞാൻ പഠിച്ച ക്ലാസ്‌ ആ അന്തസ്,Positive,Not_offensive
കൊച്ചുണ്ണിക് ശേഷം റോഷൻ ആൻഡ്രൂസ് ത്രില്ലെർ.. !,Positive,Not_offensive
Madhura raja....kandadhil vechu adipoli thagarppan movie...mammukka,Positive,Not_offensive
Pulimuruganile pole Climax il nala kidukachi fight und en urapa.,Positive,Not_offensive
ഇത് ആരും ശ്രദ്ധിച്ചില്ലേ??  0:59 നിനക്കിനി മലയാളം ഇൻഡസ്ട്രിയിൽ കിടന്നു പൊളക്കാൻ പറ്റുമെന്ന് തോന്നുന്നുണ്ടോ ബോസെ..,unknown_state,Not_offensive
എന്തോ ഒരു അപകടം മണക്കുന്നു .. ഈശ്വരാ ലാലേട്ടനെ കാത്തോണേ,unknown_state,Not_offensive
polimass item.. heavy mass... Lalettan,Positive,Not_offensive
Vilan kanndide chiri adakkan pattath njan kannde film  ithannu,unknown_state,Not_offensive
Annum inum ee manilla natturajavuu lalettan matram ettan ishtam,Positive,Not_offensive
ദൈവം പറഞ്ഞ ഒരു കാര്യത്തിനായി നീണ്ട എട്ട് വർഷം പ്രാർത്ഥിച്ച ലോക പ്രസിദ്ധ സുവിശേഷകൻ റെയ്നാഡ് ബോങ്കെ അനുഭവം ഈ പ്രധാനപ്പെട്ട സാക്ഷ്യം ശ്രദ്ധാപൂർവ്വം കേൾക്കുക !യേശു ക്രിസ്തു നിങ്ങളെ സ്വതന്ത്രരാക്കും !,unknown_state,Not_offensive
please ellavarum onnu ee link il kerii like cheyoo,unknown_state,Not_offensive
Tharikida sabu ah poorimone kondu varendayirunnu,Negative,Offensive_Targeted_Insult_Individual
Story പോരാ.  അടുത്ത ഫ്ലോപ്പ് ആണെന്ന് തോനുന്നു..,Negative,Not_offensive
Trust me...ithu next awardinolla Oru swayampan sadanamanu...,Positive,Not_offensive
Trailer kollam ഇനി പടം കു‌ടി കാണണം,Positive,Not_offensive
Dislike myrolikalk ulla kandam Madhurayil orukkiyittund enn parayan paranju....,Negative,Offensive_Untargetede
Comment vaayikkan vannathu njn mathram aano ...?,unknown_state,Not_offensive
